A,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
    English and French,85,235,55,90,70,80,135,35,95,115,105,50,35,120,45,25,30,35,125,55,185,45,1840,6325
    Neither English nor French,635,705,345,150,570,1935,2520,440,1110,180,780,265,560,2850,475,250,90,885,1465,1970,260,165,18600,51945
  First official language spoken - Females excluding institutional residents,8535,24650,11155,17025,13945,17165,24095,7840,14885,21940,11960,13340,6640,25720,11360,4445,3900,4695,18350,15590,21095,6705,304215,1170805
    English,7570,22810,10510,16225,12675,14155,20105,7175,13060,20950,10655,12620,5760,21430,10420,4070,3650,3255,15675,12570,19870,6285,270695,1075690
    French,105,500,145,440,290,150,265,85,120,605,120,260,40,125,140,45,60,65,95,55,635,150,4505,12805
    English and French,90,320,70,110,60,95,140,50,110,155,135,45,55,145,60,40,20,25,140,95,190,35,2180,7565
    Neither English nor French,770,1020,430,250,915,2765,3585,530,1595,230,1055,415,785,4015,730,295,165,1355,2435,2865,395,235,26830,74745
Detailed language spoken most often at home - Total population excluding institutional residents,15665,53270,21645,30690,27205,33700,47185,14725,28190,41180,23365,26150,12345,50240,21745,8520,7400,10700,36120,30110,44350,12795,595725,2292120
  Single responses,14935,51170,21000,29840,26225,31290,43365,14110,25965,40320,21645,24975,11485,44985,20505,8190,7135,10335,31840,27250,42860,12460,560345,2158685
    English,9040,38950,17455,26480,21780,18765,25420,9960,15190,36790,12395,21320,5820,22355,15735,6150,5705,6460,14780,12385,35415,10385,387295,1568165
    French,75,440,90,300,190,135,215,75,75,465,80,210,25,115,110,30,55,70,65,35,570,145,3560,8410
    Non-official languages,5825,11775,3455,3065,4250,12390,17730,4075,10705,3065,9175,3450,5640,22520,4660,2010,1380,3810,16995,14830,6865,1930,169485,582110
      Selected Aboriginal languages,0,0,0,0,15,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,25,55
        Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"        Cree, n.o.s.",0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,20,45
        Dene,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,5
        Innu/Montagnais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Inuktitut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
